Enduro: Thread  0 | Step       34/      34 | Reward   0 | Qmax 0.6245 | Loss 1.807 | Epsilon 0.9999
Enduro: Thread  0 | Step       97/     131 | Reward   1 | Qmax 2.5972 | Loss 166.573 | Epsilon 0.9997
Enduro: Thread  0 | Step      102/     233 | Reward   1 | Qmax 0.6514 | Loss 3.322 | Epsilon 0.9995
Enduro: Thread  0 | Step       31/     264 | Reward   0 | Qmax 0.3203 | Loss 0.109 | Epsilon 0.9994
Enduro: Thread  0 | Step       35/     299 | Reward   0 | Qmax 0.3052 | Loss 0.080 | Epsilon 0.9993
Enduro: Thread  0 | Step       36/     340 | Reward   0 | Qmax 0.2927 | Loss 0.078 | Epsilon 0.9992
Enduro: Thread  1 | Step       33/     389 | Reward   0 | Qmax 0.3033 | Loss 0.032 | Epsilon 1.0000
Enduro: Thread  1 | Step       34/     461 | Reward   0 | Qmax 0.2908 | Loss 0.077 | Epsilon 0.9999
Enduro: Thread  0 | Step       99/     533 | Reward   1 | Qmax 0.3209 | Loss 0.386 | Epsilon 0.9990
Enduro: Thread  1 | Step       36/     537 | Reward   0 | Qmax 0.3142 | Loss 0.289 | Epsilon 0.9999
Enduro: Thread  1 | Step       30/     596 | Reward   0 | Qmax 0.2935 | Loss 0.082 | Epsilon 0.9998
Enduro: Thread  0 | Step       33/     600 | Reward   0 | Qmax 0.2934 | Loss 0.090 | Epsilon 0.9989
Enduro: Thread  1 | Step       33/     660 | Reward   0 | Qmax 0.3122 | Loss 0.115 | Epsilon 0.9998
Enduro: Thread  0 | Step       31/     664 | Reward   0 | Qmax 0.3088 | Loss 0.088 | Epsilon 0.9989
Enduro: Thread  1 | Step       33/     726 | Reward   0 | Qmax 0.3268 | Loss 0.087 | Epsilon 0.9998
Enduro: Thread  0 | Step       36/     736 | Reward   0 | Qmax 0.3277 | Loss 0.075 | Epsilon 0.9988
Enduro: Thread  1 | Step       35/     795 | Reward   0 | Qmax 0.3401 | Loss 0.077 | Epsilon 0.9997
Enduro: Thread  0 | Step       34/     805 | Reward   0 | Qmax 0.3171 | Loss 0.117 | Epsilon 0.9987
Enduro: Thread  1 | Step       32/     860 | Reward   0 | Qmax 0.3178 | Loss 0.348 | Epsilon 0.9997
Enduro: Thread  0 | Step       32/     869 | Reward   0 | Qmax 0.3554 | Loss 0.187 | Epsilon 0.9987
Enduro: Thread  1 | Step       33/     926 | Reward   0 | Qmax 0.3265 | Loss 0.195 | Epsilon 0.9996
Enduro: Thread  0 | Step       33/     934 | Reward   0 | Qmax 0.3478 | Loss 0.219 | Epsilon 0.9986
